Source,Target,Weight
行/verb,有/verb,4
有/verb,行/verb,4
以/verb,學/verb,4
學/verb,以/verb,4
君子/noun,則/adv,4
則/adv,君子/noun,4
有/verb,雖/adv,4
雖/adv,有/verb,4
父/noun,在/verb,4
在/verb,父/noun,4
有/verb,知/verb,4
知/verb,有/verb,4
禮/noun,亦/adv,4
亦/adv,禮/noun,4
曰/verb,無/verb,4
無/verb,曰/verb,4
知/verb,天/noun,4
天/noun,知/verb,4
天/noun,無/verb,4
無/verb,天/noun,4
禮/noun,言/verb,4
言/verb,禮/noun,4
使/verb,臣/noun,4
臣/noun,使/verb,4
夫子/noun,為/verb,4
為/verb,夫子/noun,4
人/noun,惡/verb,4
惡/verb,人/noun,4
德/noun,人/noun,4
人/noun,德/noun,4
為/verb,如/verb,4
如/verb,為/verb,4
未/adv,好/verb,4
好/verb,未/adv,4
好/verb,仁/noun,4
仁/noun,好/verb,4
仁/noun,以/verb,4
以/verb,仁/noun,4
求/verb,為/verb,4
為/verb,求/verb,4
成/verb,君子/noun,4
君子/noun,成/verb,4
德/noun,必/adv,4
必/adv,德/noun,4
好/verb,勇/noun,4
勇/noun,好/verb,4
問/verb,以/verb,4
以/verb,問/verb,4
君子/noun,行/verb,4
行/verb,君子/noun,4
言/noun,然/verb,4
然/verb,言/noun,4
行/verb,無/verb,4
無/verb,行/verb,4
聞/verb,君子/noun,4
君子/noun,聞/verb,4
使/verb,政/noun,4
政/noun,使/verb,4
今/noun,則/adv,4
則/adv,今/noun,4
則/adv,未/adv,4
未/adv,則/adv,4
從/verb,何/adv,4
政/noun,何/adv,4
何/adv,從/verb,4
何/adv,政/noun,4
說/verb,道/noun,4
道/noun,說/verb,4
知/verb,好/verb,4
好/verb,知/verb,4
謂/verb,仁/noun,4
仁/noun,謂/verb,4
人/noun,下/noun,4
下/noun,人/noun,4
君子/noun,學/verb,4
學/verb,君子/noun,4
如/verb,仁/noun,4
仁/noun,如/verb,4
為/verb,樂/noun,4
樂/noun,為/verb,4
賢/verb,人/noun,4
人/noun,賢/verb,4
以/verb,求/verb,4
求/verb,以/verb,4
曰/verb,人/noun,4
人/noun,曰/verb,4
樂/noun,以/verb,4
以/verb,樂/noun,4
知/verb,小/verb,4
小/verb,知/verb,4
小/verb,子/noun,4
子/noun,小/verb,4
人/noun,天/noun,4
天/noun,人/noun,4
則/adv,見/verb,4
見/verb,則/adv,4
好/verb,德/noun,4
德/noun,好/verb,4
言/verb,無/verb,4
無/verb,言/verb,4
與/verb,道/noun,4
道/noun,與/verb,4
人/noun,後/noun,4
後/noun,人/noun,4
如/verb,用/verb,4
用/verb,如/verb,4
事/verb,人/noun,4
人/noun,事/verb,4
言/verb,言/noun,4
言/noun,言/verb,4
子/noun,曰/verb,4
曰/verb,子/noun,4
以/verb,居/verb,4
居/verb,以/verb,4
有/verb,勇/noun,4
勇/noun,有/verb,4
非/adv,禮/noun,4
禮/noun,非/adv,4
人/noun,在/verb,4
在/verb,人/noun,4
無/verb,怨/verb,4
怨/verb,無/verb,4
失/verb,人/noun,4
人/noun,失/verb,4
人/noun,惡/noun,4
惡/noun,人/noun,4
為/verb,焉/adv,4
焉/adv,為/verb,4
好/verb,則/adv,4
則/adv,好/verb,4
信/verb,則/adv,4
則/adv,信/verb,4
言/noun,邦/noun,4
邦/noun,言/noun,4
謂/verb,士/noun,4
士/noun,謂/verb,4
思/verb,義/noun,4
義/noun,思/verb,4
言/verb,謂/verb,4
